modified_question,modified_answer,assignment_id,objective,confidence,question,correct_answer,question_type,question_base,evidences,domain,worker_id,evidences_in_min,time_spent,video_link,video_id,time_in_original_video,duration
What kinds of major features are present?,"There is a lake, a river, and several small trails. ",31IBVUNM9SYL374DIR60R6FNGILFVG,Topography,very_high,What kinds of major features are present?,"There is a lake, a river, and several small trails. ","['Existence', 'Location']",['scene'],"[{0: [16.848, 21.096]}, {1: [58.68, 63.792]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:16.848', '00:21.096']}, {1: ['00:58.680', '01:03.792']}]",4548.0,https://www.dropbox.com/s/3e4d0vw7fvlvxm2/TreadmillTV_12-manual.mp4?raw=1,TreadmillTV_12-manual,"{'seconds': {'start': '0:00', 'end': '1:30'}, 'split-method': 'manual'}",90.0
Is there any wildlife?,"Yes, there are grasses, shrubs, and small trees. ",31IBVUNM9SYL374DIR60R6FNGILFVG,Topography,very_high,Is there any wildlife?,Yes. ,['Existence'],['scene'],"[{0: [0.0, 7.272]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:07.272']}]",4548.0,https://www.dropbox.com/s/3e4d0vw7fvlvxm2/TreadmillTV_12-manual.mp4?raw=1,TreadmillTV_12-manual,"{'seconds': {'start': '0:00', 'end': '1:30'}, 'split-method': 'manual'}",90.0
What kind of environment is this?,Savannah.,31IBVUNM9SYL374DIR60R6FNGILFVG,Topography,very_high,What kind of environment is this?,Savannah. ,['Location'],['scene'],"[{0: [22.68, 29.088]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:22.680', '00:29.088']}]",4548.0,https://www.dropbox.com/s/3e4d0vw7fvlvxm2/TreadmillTV_12-manual.mp4?raw=1,TreadmillTV_12-manual,"{'seconds': {'start': '0:00', 'end': '1:30'}, 'split-method': 'manual'}",90.0
What kinds of water features are there?,There are rivers.,31IBVUNM9SYL374DIR60R6FNGILFVG,Water,very_high,What kinds of water features are there?,There are rivers. ,['Existence'],['scene'],"[{0: [0.0, 8.269]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:08.269']}]",4548.0,https://www.dropbox.com/s/hukvp8a4jcjjwbm/4k-Relaxation_3-clip-4.mp4?raw=1,4k-Relaxation_3-clip-4,"{'frames': {'start': '00:17:28.881', 'end': '00:19:26.332'}, 'seconds': {'start': '1048.8809280563526', 'end': '1166.3315680041292'}, 'split-method': 'auto'}",117.45063994777661
Where are the rivers?,They are in a deciduous forest environment.,31IBVUNM9SYL374DIR60R6FNGILFVG,Water,very_high,Where are the rivers?,They are in a deciduous forest environment. ,['Location'],['scene'],"[{0: [0.0, 9.49]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:09.490']}]",4548.0,https://www.dropbox.com/s/hukvp8a4jcjjwbm/4k-Relaxation_3-clip-4.mp4?raw=1,4k-Relaxation_3-clip-4,"{'frames': {'start': '00:17:28.881', 'end': '00:19:26.332'}, 'seconds': {'start': '1048.8809280563526', 'end': '1166.3315680041292'}, 'split-method': 'auto'}",117.45063994777661
Is there any water vegetation?,No.,31IBVUNM9SYL374DIR60R6FNGILFVG,Water,very_high,Is there any water vegetation?,No. ,['Existence'],['scene'],"[{0: [61.638, 69.813]}, {1: [0.0, 13.061]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['01:01.638', '01:09.813']}, {1: ['00:00.000', '00:13.061']}]",4548.0,https://www.dropbox.com/s/hukvp8a4jcjjwbm/4k-Relaxation_3-clip-4.mp4?raw=1,4k-Relaxation_3-clip-4,"{'frames': {'start': '00:17:28.881', 'end': '00:19:26.332'}, 'seconds': {'start': '1048.8809280563526', 'end': '1166.3315680041292'}, 'split-method': 'auto'}",117.45063994777661
Are there any signs of human activity?,"Yes, there are small roads and paths. ",31IBVUNM9SYL374DIR60R6FNGILFVG,Water,very_high,Are there any signs of human activity? If so what.,"Yes, there are small roads and paths. ","['Entity', 'Existence']",['scene'],"[{0: [0.0, 3.758]}, {1: [74.887, 79.491]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:03.758']}, {1: ['01:14.887', '01:19.491']}]",4548.0,https://www.dropbox.com/s/hukvp8a4jcjjwbm/4k-Relaxation_3-clip-4.mp4?raw=1,4k-Relaxation_3-clip-4,"{'frames': {'start': '00:17:28.881', 'end': '00:19:26.332'}, 'seconds': {'start': '1048.8809280563526', 'end': '1166.3315680041292'}, 'split-method': 'auto'}",117.45063994777661
What kinds of bodies of water are there?,There are rivers and lakes.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Water,very_high,What kinds of bodies of water are there?,There are rivers and lakes. ,"['Entity', 'Existence']",['scene'],"[{0: [10.063, 14.419]}, {1: [24.332, 28.588]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:10.063', '00:14.419']}, {1: ['00:24.332', '00:28.588']}]",1798.0,https://www.dropbox.com/s/4e40mdvmrleo8ks/Primal-Earth-Sounds_9-clip-26.mp4?raw=1,Primal-Earth-Sounds_9-clip-26,"{'frames': {'start': '00:28:51.042', 'end': '00:29:53.625'}, 'seconds': {'start': '1731.0416666666667', 'end': '1793.625'}, 'split-method': 'auto'}",62.58333333333326
Where are the lakes at?,One is in near a forest and the other is in a valley between mountains.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Water,very_high,Where are the lakes at?,One is in near a forest and the other is in a valley between mountains. ,['Location'],['scene'],"[{0: [29.039, 36.148]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:29.039', '00:36.148']}]",1798.0,https://www.dropbox.com/s/4e40mdvmrleo8ks/Primal-Earth-Sounds_9-clip-26.mp4?raw=1,Primal-Earth-Sounds_9-clip-26,"{'frames': {'start': '00:28:51.042', 'end': '00:29:53.625'}, 'seconds': {'start': '1731.0416666666667', 'end': '1793.625'}, 'split-method': 'auto'}",62.58333333333326
Where are the rivers?,One is in a tropical forest region and the other is in a temperate forest region.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Water,very_high,Where are the rivers?,One is in a tropical forest region and the other is in a temperate forest region. ,['Location'],['scene'],"[{0: [11.215, 15.571]}, {1: [55.224, 59.429]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:11.215', '00:15.571']}, {1: ['00:55.224', '00:59.429']}]",1798.0,https://www.dropbox.com/s/4e40mdvmrleo8ks/Primal-Earth-Sounds_9-clip-26.mp4?raw=1,Primal-Earth-Sounds_9-clip-26,"{'frames': {'start': '00:28:51.042', 'end': '00:29:53.625'}, 'seconds': {'start': '1731.0416666666667', 'end': '1793.625'}, 'split-method': 'auto'}",62.58333333333326
Are there any boats on the water?,"yes, on the lake in the valley. ",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Water,very_high,Are there any boats on the water? If so which one?,"yes, on the lake in the valley. ","['Existence', 'Location', 'Number']",['scene'],"[{0: [36.849, 41.355]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:36.849', '00:41.355']}]",1798.0,https://www.dropbox.com/s/4e40mdvmrleo8ks/Primal-Earth-Sounds_9-clip-26.mp4?raw=1,Primal-Earth-Sounds_9-clip-26,"{'frames': {'start': '00:28:51.042', 'end': '00:29:53.625'}, 'seconds': {'start': '1731.0416666666667', 'end': '1793.625'}, 'split-method': 'auto'}",62.58333333333326
What types of topographical features are there?,There is a canyon and a shallow stream.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Topography,very_high,What types of topographical features are there?,There is a canyon and a shallow stream. ,['Existence'],['scene'],"[{0: [0.0, 5.591]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:05.591']}]",1798.0,https://www.dropbox.com/s/fjwuqxzw0soj5im/4k-Relaxation_4-clip-4.mp4?raw=1,4k-Relaxation_4-clip-4,"{'frames': {'start': '00:05:32.999', 'end': '00:06:42.193'}, 'seconds': {'start': '332.9993333333333', 'end': '402.1934583333333'}, 'split-method': 'auto'}",69.19412499999999
What is the climate like?,It is rocky and sunny. It is an arid environment.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Topography,very_high,What is the climate like?,It is rocky and sunny. It is an arid environment. ,['Spatial relationship'],['scene'],"[{0: [27.346, 36.756]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:27.346', '00:36.756']}]",1798.0,https://www.dropbox.com/s/fjwuqxzw0soj5im/4k-Relaxation_4-clip-4.mp4?raw=1,4k-Relaxation_4-clip-4,"{'frames': {'start': '00:05:32.999', 'end': '00:06:42.193'}, 'seconds': {'start': '332.9993333333333', 'end': '402.1934583333333'}, 'split-method': 'auto'}",69.19412499999999
What is the vegetation like?,It is sparse and low to the ground. It clings to the side of the canyon.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Topography,very_high,What is the vegetation like?,It is sparse and low to the ground. It clings to the side of the canyon. ,['Existence'],['scene'],"[{0: [27.069, 33.822]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:27.069', '00:33.822']}]",1798.0,https://www.dropbox.com/s/fjwuqxzw0soj5im/4k-Relaxation_4-clip-4.mp4?raw=1,4k-Relaxation_4-clip-4,"{'frames': {'start': '00:05:32.999', 'end': '00:06:42.193'}, 'seconds': {'start': '332.9993333333333', 'end': '402.1934583333333'}, 'split-method': 'auto'}",69.19412499999999
What types of vegetation is present?,"Trees, bushes, and tall plants. ",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Vegetation,very_high,What types of vegetation is present?,"Trees, bushes, and tall plants. ","['Entity', 'Existence']",['scene'],"[{0: [0.0, 4.017]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:04.017']}]",1798.0,https://www.dropbox.com/s/zs3vvn5ynae4p2f/Virtual-Running-Videos_10-clip-25.mp4?raw=1,Virtual-Running-Videos_10-clip-25,"{'frames': {'start': '00:25:19.551', 'end': '00:26:20.045'}, 'seconds': {'start': '1519.5513666666666', 'end': '1580.0451333333333'}, 'split-method': 'auto'}",60.493766666666716
What is the distribution of plant life like?,It is very dense. Trees take up much of the forest while the other plants try to grow tall around them.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Vegetation,very_high,What is the distribution of plant life like?,It is very dense. Trees take up much of the forest while the other plants try to grow tall around them. ,['Spatial relationship'],['scene'],"[{0: [22.552, 30.198]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:22.552', '00:30.198']}]",1798.0,https://www.dropbox.com/s/zs3vvn5ynae4p2f/Virtual-Running-Videos_10-clip-25.mp4?raw=1,Virtual-Running-Videos_10-clip-25,"{'frames': {'start': '00:25:19.551', 'end': '00:26:20.045'}, 'seconds': {'start': '1519.5513666666666', 'end': '1580.0451333333333'}, 'split-method': 'auto'}",60.493766666666716
What sort of environment is it based on the landscape and plant life?,Temperate mountain environment.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,Vegetation,very_high,What sort of environment is it based on the landscape and plant life?,Temperate mountain environment. ,['Location'],['scene'],"[{0: [14.47, 20.278]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:14.470', '00:20.278']}]",1798.0,https://www.dropbox.com/s/zs3vvn5ynae4p2f/Virtual-Running-Videos_10-clip-25.mp4?raw=1,Virtual-Running-Videos_10-clip-25,"{'frames': {'start': '00:25:19.551', 'end': '00:26:20.045'}, 'seconds': {'start': '1519.5513666666666', 'end': '1580.0451333333333'}, 'split-method': 'auto'}",60.493766666666716
Are there people in the video?,"Yes, there are a lot of people. ",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,Are there people here and if so how many?,"Yes, there are a lot of people. ","['Entity', 'Existence', 'Number']",['scene'],"[{0: [57.754, 61.764]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:57.754', '01:01.764']}]",1798.0,https://www.dropbox.com/s/gc3wgfu6ifunhy9/The-Flying-Dutchman_6-clip-7.mp4?raw=1,The-Flying-Dutchman_6-clip-7,"{'frames': {'start': '00:08:04.275', 'end': '00:09:07.714'}, 'seconds': {'start': '484.2754583333333', 'end': '547.7138333333332'}, 'split-method': 'auto'}",63.43837499999995
What are the people doing there?,Hiking.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,What are they doing?,Hiking. ,['Motion'],['scene'],"[{0: [46.234, 51.004]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:46.234', '00:51.004']}]",1798.0,https://www.dropbox.com/s/gc3wgfu6ifunhy9/The-Flying-Dutchman_6-clip-7.mp4?raw=1,The-Flying-Dutchman_6-clip-7,"{'frames': {'start': '00:08:04.275', 'end': '00:09:07.714'}, 'seconds': {'start': '484.2754583333333', 'end': '547.7138333333332'}, 'split-method': 'auto'}",63.43837499999995
Are there any structures nearby?,"Yes, there are two on top of a ridge. ",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,"Are there any structures nearby? If so, how many and where?","Yes, there are two on top of a ridge. ","['Entity', 'Location', 'Number']",['scene'],"[{0: [13.906, 19.336]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:13.906', '00:19.336']}]",1798.0,https://www.dropbox.com/s/gc3wgfu6ifunhy9/The-Flying-Dutchman_6-clip-7.mp4?raw=1,The-Flying-Dutchman_6-clip-7,"{'frames': {'start': '00:08:04.275', 'end': '00:09:07.714'}, 'seconds': {'start': '484.2754583333333', 'end': '547.7138333333332'}, 'split-method': 'auto'}",63.43837499999995
Are there people around?,"No, there is no one.",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,Are there people around? If so how many?,"Yes, there is one person. ","['Entity', 'Existence', 'Number']",['scene'],"[{0: [0.0, 3.483]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:03.483']}]",1798.0,https://www.dropbox.com/s/f5oh7yvr8js9tpe/TreadmillTV_3-clip-12.mp4?raw=1,TreadmillTV_3-clip-12,"{'frames': {'start': '00:13:02.715', 'end': '00:14:04.043'}, 'seconds': {'start': '782.7149975140076', 'end': '844.0429097584763'}, 'split-method': 'auto'}",61.327912244468735
Are there signs of human activity?,"yes, there are trails, benches, and bridges. ",3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,Are there other signs of human activity? If so what?,"yes, there are trails, benches, and bridges. ",['Existence'],['scene'],"[{0: [43.175, 48.179]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:43.175', '00:48.179']}]",1798.0,https://www.dropbox.com/s/f5oh7yvr8js9tpe/TreadmillTV_3-clip-12.mp4?raw=1,TreadmillTV_3-clip-12,"{'frames': {'start': '00:13:02.715', 'end': '00:14:04.043'}, 'seconds': {'start': '782.7149975140076', 'end': '844.0429097584763'}, 'split-method': 'auto'}",61.327912244468735
"Based on the surroundings, is this an area that many people go to?",Yes.,3HL8HNGX450N60RAFQ14ZOQQPQMF9K,People,very_high,"Based on the surroundings, is this an area that many people go to?",Yes. ,"['Entity', 'Motion', 'Spatial relationship']",['scene'],"[{0: [12.315, 18.349]}, {1: [43.42, 48.719]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:12.315', '00:18.349']}, {1: ['00:43.420', '00:48.719']}]",1798.0,https://www.dropbox.com/s/f5oh7yvr8js9tpe/TreadmillTV_3-clip-12.mp4?raw=1,TreadmillTV_3-clip-12,"{'frames': {'start': '00:13:02.715', 'end': '00:14:04.043'}, 'seconds': {'start': '782.7149975140076', 'end': '844.0429097584763'}, 'split-method': 'auto'}",61.327912244468735
Is this video set during the Fall Season?,"Judging from the colors of the leaves on the trees, I believe it to be Fall time.",3B4YI393V9VEFKSVUG1UNIEV64NSS9,I am curious about the time of year this video was taken,moderate,Is this video set during the Fall Season?,"Judging from the colors of the leaves on the trees, I believe it to be Fall time.","['Location', 'Temporal relationship', 'Time']",['scene'],"[{0: [35.453, 41.647]}, {1: [47.399, 53.705]}]",Geography,A3VTSFIMHEWR0L,"[{0: ['00:35.453', '00:41.647']}, {1: ['00:47.399', '00:53.705']}]",1132.0,https://www.dropbox.com/s/lefp9rdbecxboyn/Nick-Gaillard_1-clip-2.mp4?raw=1,Nick-Gaillard_1-clip-2,"{'frames': {'start': '00:02:08.929', 'end': '00:03:18.065'}, 'seconds': {'start': '128.9288', 'end': '198.06453333333334'}, 'split-method': 'auto'}",69.13573333333335
Do people come vacation here?,"Judging by how beautiful the scenery is and it being a tropical area, people probably take vacation trips here.",3B4YI393V9VEFKSVUG1UNIEV64NSS9,I feel like this area would be nice to see in person,moderate,Do people come vacation here?,"Judging by how beautiful the scenery is and it being a tropical area, people probably take vacation trips here.",['Location'],['scene'],"[{0: [1.958, 5.338]}, {1: [22.349, 26.573]}]",Geography,A3VTSFIMHEWR0L,"[{0: ['00:01.958', '00:05.338']}, {1: ['00:22.349', '00:26.573']}]",1132.0,https://www.dropbox.com/s/0s03ul8axnoagos/Primal-Earth-Sounds_2-manual.mp4?raw=1,Primal-Earth-Sounds_2-manual,"{'seconds': {'start': '5:55', 'end': '6:43'}, 'split-method': 'manual'}",48.0
"Is the white mist clouds, fog, or smoke?","Judging by the elevation of the mountains, I believe they are clouds",3B4YI393V9VEFKSVUG1UNIEV64NSS9,I'm curious about the weather/climate here.,moderate,"Is that clouds, fog, or smoke?","Judging by the elevation of the mountains, I believe they are clouds","['Location', 'Spatial relationship']",['scene'],"[{0: [8.203, 10.599]}]",Geography,A3VTSFIMHEWR0L,"[{0: ['00:08.203', '00:10.599']}]",1132.0,https://www.dropbox.com/s/6123xp6c5l3guio/Nick-Gaillard_6-clip-1.mp4?raw=1,Nick-Gaillard_6-clip-1,"{'frames': {'start': '00:01:04.958', 'end': '00:01:28.000'}, 'seconds': {'start': '64.95833333333333', 'end': '88.0'}, 'split-method': 'auto'}",23.04166666666667
Is this dangerous to play?,"Seeing how far you have to lean over to hit the ball, and taking into account how high you are off the ground and how heavy a horse is, I think this game would be dangerous to play",3B4YI393V9VEFKSVUG1UNIEV64NSS9,I am curious about this game,moderate,Is this dangerous to play?,"Seeing how far you have to lean over to hit the ball, and taking into account how high you are off the ground and how heavy a horse is, I think this game would be dangerous to play",['Reasoning'],['scene'],"[{0: [1.553, 2.999]}]",Geography,A3VTSFIMHEWR0L,"[{0: ['00:01.553', '00:02.999']}]",1132.0,https://www.dropbox.com/s/p6o6mix1ei04jtr/TK-Hinshaw_0-clip-0.mp4?raw=1,TK-Hinshaw_0-clip-0,"{'frames': {'start': '00:00:00.000', 'end': '00:01:06.934'}, 'seconds': {'start': '0.0', 'end': '66.93353333333333'}, 'split-method': 'auto'}",66.93353333333333
Are the runner physically fit?,"Judging by the pace of running and the controlled breathing, I would assume they work out often and thus are in decent physical shape.",3B4YI393V9VEFKSVUG1UNIEV64NSS9,I am curious how often this person exercises,moderate,Are they physically fit?,"Judging by the pace of running and the controlled breathing, I would assume they work out often and thus are in decent physical shape.","['Entity', 'Reasoning']","['audio', 'scene']","[{0: [13.976, 21.526]}]",Geography,A3VTSFIMHEWR0L,"[{0: ['00:13.976', '00:21.526']}]",1132.0,https://www.dropbox.com/s/3eyvz0a3wglx5oj/Virtual-Running-Videos_4-clip-16.mp4?raw=1,Virtual-Running-Videos_4-clip-16,"{'frames': {'start': '00:59:15.419', 'end': '01:00:22.352'}, 'seconds': {'start': '3555.4185333333335', 'end': '3622.352066666667'}, 'split-method': 'auto'}",66.93353333333334
Are there cars in the video?,Yes.,3TU5ZICBRD0KJKY9OE6KBRZTCMQQ8D,roads,very_high,How many cars are there?,6,['Number'],['scene'],"[{0: [8.466, 14.943]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:08.466', '00:14.943']}]",3598.0,https://www.dropbox.com/s/ds6rnnub95z7s5c/Nick-Gaillard_12-clip-1.mp4?raw=1,Nick-Gaillard_12-clip-1,"{'frames': {'start': '00:01:02.746', 'end': '00:02:06.498'}, 'seconds': {'start': '62.746187124211765', 'end': '126.49765361489955'}, 'split-method': 'auto'}",63.75146649068778
Where is the road at?,It is in a tundra environment,3TU5ZICBRD0KJKY9OE6KBRZTCMQQ8D,roads,very_high,Where is the road at?,It is in a tundra environment ,['Location'],['scene'],"[{0: [0.0, 12.495]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:00.000', '00:12.495']}]",3598.0,https://www.dropbox.com/s/ds6rnnub95z7s5c/Nick-Gaillard_12-clip-1.mp4?raw=1,Nick-Gaillard_12-clip-1,"{'frames': {'start': '00:01:02.746', 'end': '00:02:06.498'}, 'seconds': {'start': '62.746187124211765', 'end': '126.49765361489955'}, 'split-method': 'auto'}",63.75146649068778
What kinds of natural features are there?,There are mountains and an ocean.,3TU5ZICBRD0KJKY9OE6KBRZTCMQQ8D,topography,very_high,What kinds of natural features are there?,There are mountains and an ocean. ,['Existence'],['scene'],"[{0: [20.326, 23.96]}]",Geography,A3CYKU3BMX9HWQ,"[{0: ['00:20.326', '00:23.960']}]",3598.0,https://www.dropbox.com/s/pgkvfz88xs9o0pk/TK-Hinshaw_1-clip-1.mp4?raw=1,TK-Hinshaw_1-clip-1,"{'frames': {'start': '00:01:53.380', 'end': '00:03:04.351'}, 'seconds': {'start': '113.38004469669885', 'end': '184.3510144053152'}, 'split-method': 'auto'}",70.97096970861635
